OTU	Kingdom	Phylum	Order	Class	Family	Genus	Species	taxon	taxonomicLevel	trophicMode	guild	trait	growthForm	confidenceRanking	notes	citationSource
ASV_3830	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Amarenomyces	ammophilae	Amarenomyces	13	Saprotroph	Undefined Saprotroph	NULL	Microfungus	Probable	A marine fungus (Eriksson 1981)	Eriksson OE. 1981. Opera Botanica 60:1-209 ((https://doi.org/10.1111/j.1756-1051.1981.tb01167.x))
ASV_3831	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Veronaea	NA	Veronaea	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
ASV_3832	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paracamarosporium	NA	Didymosphaeriaceae	9	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	Saprobes in both woody and herbaceous material, also parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Massimo NC, et al. 2015. Microbial Ecology 70:61-76 ((https://doi.org/10.1007/s00248-014-0563-6))
ASV_3833	Choanoflagellozoa	Choanoflagellata	Choanoflagellata_cls_Incertae_sedis	Choanoflagellida	Choanoflagellida_fam_Incertae_sedis	Choanoflagellida_gen_Incertae_sedis	NA	na	na	na	na	na	na	na	na	na
ASV_3834	Fungi	Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Phallaceae_gen_Incertae_sedis	NA	Phallaceae	9	Saprotroph	Litter Saprotroph-Soil Saprotroph-Wood Saprotroph	NULL	Phalloid	Probable	Common name - stinkhorn; Saprobic, on soil or decaying wood, with spores dispersed by insects that are attracted to the fruit bodies by their distictive foetid smell (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV_3835	Rhizaria	Cercozoa	Cercozoa_cls_Incertae_sedis	Cercozoa_ord_Incertae_sedis	Cercozoa_fam_Incertae_sedis	Cercozoa_gen_Incertae_sedis	NA	na	na	na	na	na	na	na	na	na
ASV_3836	Fungi	NA	NA	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3837	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	terricola	Preussia	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV_3838	Fungi	Ascomycota	NA	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3839	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	NA	Serendipita	13	Symbiotroph	Orchid Mycorrhizal	NULL	NULL	Highly Probable	NULL	Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (pro parte); Weiß M, et al. 2016. New Phytologist 211:20-40 ((https://doi.org/10.1111/nph.13977))
ASV_3840	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinales_fam_Incertae_sedis	Sebacinales_gen_Incertae_sedis	NA	na	na	na	na	na	na	na	na	na
ASV_3841	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriaceae	Chaetothyrium	NA	Chaetothyrium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV_3842	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3843	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	mexicanus	Phaeococcomyces	13	Saprotroph	Undefined Saprotroph	NULL	Facultative Yeast	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV_3844	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	ornata	Westerdykella	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV_3845	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	prolifer	Rhizophagus	13	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))
ASV_3846	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	NA	Rhizophagus	13	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))
ASV_3847	NA	NA	NA	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3848	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	NA	Coniochaeta	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Possible	NULL	Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington (ISBN: 978-0864730015); Damm U, et al. 2010. Persoonia 24:60-80 ((http://doi.org/10.3767/003158510X500705)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:1256688 ((https://doi.org/:10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
ASV_3849	Fungi	NA	NA	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3850	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3851	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	NA	NA	Xylariaceae	9	Pathotroph-Saprotroph-Symbiotroph	Dung Saprotroph-Endophyte-Plant Pathogen-Undefined Saprotroph	NULL	Xylarioid	Probable	Saprobes or weak pathogens, many endophytes, mainly in wood and bark, occasionally in soil and dung (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV_3852	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Resupinatus	rouxii	Resupinatus	13	Saprotroph	Undefined Saprotroph	White Rot	Corticioid	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV_3853	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Tremateia	NA	Tremateia	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV_3854	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Gibbago	trianthemae	Gibbago	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV_3855	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3856	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Hydeomyces	desertipleosporoides	Hydeomyces	13	Saprotroph	Wood Saprotroph	NULL	NULL	Probable	NULL	Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))
ASV_3857	NA	NA	NA	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3858	NA	NA	NA	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3859	Fungi	Ascomycota	Sordariomycetes	Branch06	Branch06_fam_Incertae_sedis	Branch06_gen_Incertae_sedis	NA	na	na	na	na	na	na	na	na	na
ASV_3860	Viridiplantae	Anthophyta	NA	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3861	Fungi	NA	NA	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3862	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	australiana	Serendipita	13	Symbiotroph	Orchid Mycorrhizal	NULL	NULL	Highly Probable	NULL	Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (pro parte); Weiß M, et al. 2016. New Phytologist 211:20-40 ((https://doi.org/10.1111/nph.13977))
ASV_3863	Fungi	NA	NA	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3864	Fungi	Ascomycota	Dothideomycetes	Microthyriales	Microthyriales_fam_Incertae_sedis	Parazalerion	NA	na	na	na	na	na	na	na	na	na
ASV_3865	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Scolecobasidium	NA	Scolecobasidium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV_3866	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Wiesneriomycetaceae	Spissiomyces	aggregatus	na	na	na	na	na	na	na	na	na
ASV_3867	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	NA	Coniochaeta	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Possible	NULL	Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington (ISBN: 978-0864730015); Damm U, et al. 2010. Persoonia 24:60-80 ((http://doi.org/10.3767/003158510X500705)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:1256688 ((https://doi.org/:10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
ASV_3868	NA	NA	NA	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3869	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascodesmidaceae	Ascodesmidaceae_gen_Incertae_sedis	NA	Ascodesmidaceae	9	Saprotroph	Dung Saprotroph-Soil Saprotroph	NULL	Microfungus	Probable	Molecular studies indicate that the family clusters within Pyronomataceae, but the latter family is widely circumscribed and may need division (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV_3870	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	NA	Xylaria	13	Saprotroph-Symbiotroph	Endophyte-Undefined Saprotroph-Wood Saprotroph	Soft Rot	Xylarioid	Probable	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
ASV_3871	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	NA	Acaulospora	13	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))
ASV_3872	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	curtus	Coprinellus	13	Saprotroph	Undefined Saprotroph	NULL	Agaricoid	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV_3873	Fungi	Ascomycota	Sordariomycetes	Branch06	Branch06_fam_Incertae_sedis	Branch06_gen_Incertae_sedis	NA	na	na	na	na	na	na	na	na	na
ASV_3874	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	onofrii	na	na	na	na	na	na	na	na	na
ASV_3875	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3876	Fungi	Ascomycota	NA	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3877	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Parapyrenochaetaceae	Parapyrenochaeta	protearum	na	na	na	na	na	na	na	na	na
ASV_3878	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	paraflava	na	na	na	na	na	na	na	na	na
ASV_3879	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	NA	Tulostoma	13	Saprotroph	Soil Saprotroph	NULL	Gasteroid	Probable	Common name - stalked puffball	Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127 ((http://www.fungaldiversity.org/fdp/sfdp/FD_8_97-127.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV_3880	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	NA	NA	Massarinaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	NULL	Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford (ISBN: 978-0851998268)
ASV_3881	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiaceae	Erythrobasidium	yunnanense	na	na	na	na	na	na	na	na	na
ASV_3882	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_Incertae_sedis	Buckleyzymaceae	Buckleyzyma	NA	Buckleyzyma	13	Saprotroph	Undefined Saprotroph	NULL	Yeast	Probable	NULL	Wang QM, et al. 2015. Studies in Mycology 81:149-189 ((https://doi.org/10.1016/j.simyco.2015.12.002))
ASV_3883	Fungi	Ascomycota	NA	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3884	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Subramaniula	NA	Subramaniula	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV_3885	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	NA	NA	Xylariaceae	9	Pathotroph-Saprotroph-Symbiotroph	Dung Saprotroph-Endophyte-Plant Pathogen-Undefined Saprotroph	NULL	Xylarioid	Probable	Saprobes or weak pathogens, many endophytes, mainly in wood and bark, occasionally in soil and dung (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV_3886	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	NA	NA	Mycosphaerellaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	Biotrophic, necrotrophic or saprobic on various plant tissues (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV_3887	NA	NA	NA	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3888	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Endoconidioma	euphorbiae	Endoconidioma	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV_3889	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	NA	Ascobolus	13	Saprotroph	Dung Saprotroph-Wood Saprotroph	Soft Rot	NULL	Probable	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington (ISBN: 978-0864730015); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV_3890	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apodospora	NA	Apodospora	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV_3891	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	bellidis	Didymella	13	Pathotroph-Saprotroph	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV_3892	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Thelebolaceae	Thelebolus	NA	Thelebolus	13	Saprotroph-Symbiotroph	Dung Saprotroph-Endophyte-Undefined Saprotroph	NULL	Microfungus	Probable	Endophyte detection method-culture (David et al. 2016)	Bills GF, et al. 2013. Current Opinion in Microbiology 16:549-565 ((https://doi.org/10.1016/j.mib.2013.08.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6))
ASV_3893	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	niger	na	na	na	na	na	na	na	na	na
ASV_3894	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	NA	NA	Xylariaceae	9	Pathotroph-Saprotroph-Symbiotroph	Dung Saprotroph-Endophyte-Plant Pathogen-Undefined Saprotroph	NULL	Xylarioid	Probable	Saprobes or weak pathogens, many endophytes, mainly in wood and bark, occasionally in soil and dung (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV_3895	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3896	Fungi	Ascomycota	NA	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3897	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	kotlabae	Tulostoma	13	Saprotroph	Soil Saprotroph	NULL	Gasteroid	Probable	Common name - stalked puffball	Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127 ((http://www.fungaldiversity.org/fdp/sfdp/FD_8_97-127.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV_3898	NA	NA	NA	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3899	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Phlebia	NA	Phlebia	13	Saprotroph	Wood Saprotroph	White Rot	Corticioid	Highly Probable	NULL	Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford (ISBN: 978-0851998268)
ASV_3900	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	NA	NA	Ceratobasidiaceae	9	Pathotroph-Saprotroph-Symbiotroph	Endomycorrhizal-Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Possible	Best known as plant pathogens, but also saprobic. Species are endomycorrhizal with a wide range of plant roots - especially of Orchidaceae but also even bryophytes (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV_3901	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	NA	Coniochaeta	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Possible	NULL	Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington (ISBN: 978-0864730015); Damm U, et al. 2010. Persoonia 24:60-80 ((http://doi.org/10.3767/003158510X500705)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:1256688 ((https://doi.org/:10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
ASV_3902	Fungi	Mortierellomycota	NA	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3903	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Pseudothielavia	arxii	na	na	na	na	na	na	na	na	na
ASV_3904	Fungi	Ascomycota	NA	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3905	NA	NA	NA	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3906	Fungi	Ascomycota	NA	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3907	Fungi	Calcarisporiellomycota	Calcarisporiellomycetes	Calcarisporiellales	Calcarisporiellaceae	Calcarisporiella	NA	Calcarisporiella	13	Saprotroph	Undefined Saprotroph	NULL	Microfungus	Probable	NULL	De Hoog GS. 1974. In: The genera Blastobotrys, Sporothrix, Calcarisporium and Calcarisporiella gen. Ed. Von Arx JA. Studies in Mycology 7:71-84 ((https://www.studiesinmycology.org/sim/Sim07/index.html))
ASV_3908	Fungi	Ascomycota	Dothideomycetes	Natipusillales	Natipusillaceae	Natipusillaceae_gen_Incertae_sedis	NA	na	na	na	na	na	na	na	na	na
ASV_3909	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Limonomyces	roseipellis	Limonomyces	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV_3910	Fungi	Ascomycota	NA	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3911	Fungi	Ascomycota	NA	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3912	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3913	NA	NA	NA	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3914	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	NA	Phaeococcomyces	13	Saprotroph	Undefined Saprotroph	NULL	Facultative Yeast	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV_3915	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	NA	NA	Phaeosphaeriaceae	9	Pathotroph-Saprotroph	Fungal Parasite-Plant Pathogen-Plant Saprotroph	NULL	Microfungus	Probable	Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV_3916	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Stolonocarpus	NA	na	na	na	na	na	na	na	na	na
ASV_3917	Fungi	Ascomycota	Sordariomycetes	Conioscyphales	Conioscyphaceae	Conioscypha	NA	Conioscypha	13	Saprotroph	Wood Saprotroph	NULL	Microfungus	Possible	NULL	Charuwan C, et al. 2017. Mycoscience 58:424-431 ((https://doi.org/10.1016/j.myc.2017.06.003))
ASV_3918	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	NA	NA	Leptosphaeriaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	NULL	Microfungus	Probable	Saprobic or weakly necrotrophic on stems or leaves (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV_3919	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	aeria	na	na	na	na	na	na	na	na	na
ASV_3920	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	NA	na	na	na	na	na	na	na	na	na
ASV_3921	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA	Glomeraceae	9	Symbiotroph	Arbuscular Mycorrhizal	NULL	Microfungus	Highly Probable	NULL	Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))
ASV_3922	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA	na	na	na	na	na	na	na	na	na
ASV_3923	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Arthrocladium	NA	Arthrocladium	13	Pathotroph-Saprotroph	Animal Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	From leaf litter, rotten material, and ant domatia-also an opportunistic human pathogen (Nascimento et al. 2016)	Nascimento MMF, et al. 2016. Fungal Biology 120:207-218 ((https://doi.org/10.1016/j.funbio.2015.08.018))
ASV_3924	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	procaviicola	Preussia	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV_3925	Rhizaria	Cercozoa	Cercozoa_cls_Incertae_sedis	Cercozoa_ord_Incertae_sedis	Cercozoa_fam_Incertae_sedis	Cercozoa_gen_Incertae_sedis	NA	na	na	na	na	na	na	na	na	na
ASV_3926	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Subramaniula	cristata	Subramaniula	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
